index,City,Date,Card Type,Exp Type,Gender,Amount
1077,"Delhi, India",26-May-15,Silver,Entertainment,F,41161
1260,"Ahmedabad, India",26-May-15,Platinum,Food,F,204598
1491,"Bengaluru, India",26-May-15,Platinum,Food,M,223595
2227,"Bengaluru, India",26-May-15,Silver,Fuel,F,156063
3565,"Bengaluru, India",26-May-15,Gold,Grocery,M,29685
3929,"Greater Mumbai, India",26-May-15,Gold,Food,F,112158
4151,"Ahmedabad, India",26-May-15,Silver,Grocery,M,210509
4280,"Bengaluru, India",26-May-15,Platinum,Grocery,M,16981
5291,"Greater Mumbai, India",26-May-15,Signature,Entertainment,F,28616
5659,"Bengaluru, India",26-May-15,Signature,Food,M,268608
5773,"Delhi, India",26-May-15,Platinum,Food,M,299056
6224,"Bengaluru, India",26-May-15,Signature,Bills,M,52986
7294,"Delhi, India",26-May-15,Platinum,Fuel,F,186122
7891,"Ahmedabad, India",26-May-15,Platinum,Grocery,F,269998
9393,"Ahmedabad, India",26-May-15,Signature,Fuel,F,281436
9705,"Delhi, India",26-May-15,Platinum,Bills,F,5133
9980,"Delhi, India",26-May-15,Platinum,Entertainment,F,200932
10412,"Greater Mumbai, India",26-May-15,Platinum,Food,M,293134
11566,"Greater Mumbai, India",26-May-15,Silver,Entertainment,M,180339
11714,"Greater Mumbai, India",26-May-15,Signature,Grocery,F,226792
12189,"Bengaluru, India",26-May-15,Gold,Fuel,M,12590
12432,"Ahmedabad, India",26-May-15,Platinum,Fuel,M,281054
12574,"Delhi, India",26-May-15,Gold,Entertainment,M,63264
12616,"Bengaluru, India",26-May-15,Gold,Fuel,F,166997
12905,"Ahmedabad, India",26-May-15,Silver,Grocery,F,296653
13324,"Delhi, India",26-May-15,Signature,Grocery,F,33068
13424,"Delhi, India",26-May-15,Platinum,Entertainment,F,245806
14430,"Khair, India",26-May-15,Platinum,Grocery,M,247887
14658,"Washim, India",26-May-15,Signature,Fuel,F,223068
15334,"Sirohi, India",26-May-15,Platinum,Food,F,5111
18576,"Amalner, India",26-May-15,Signature,Entertainment,F,280729
20021,"Jaipur, India",26-May-15,Platinum,Entertainment,F,177359
21610,"Hyderabad, India",26-May-15,Gold,Grocery,F,176677
21912,"Jaipur, India",26-May-15,Signature,Entertainment,M,236357
22341,"Hyderabad, India",26-May-15,Platinum,Entertainment,M,171338
22448,"Kolkata, India",26-May-15,Platinum,Entertainment,M,69660
22479,"Surat, India",26-May-15,Signature,Entertainment,F,178800
22489,"Lucknow, India",26-May-15,Signature,Bills,F,238976
22648,"Lucknow, India",26-May-15,Gold,Grocery,M,249011
23197,"Lucknow, India",26-May-15,Signature,Fuel,M,52278
24263,"Chennai, India",26-May-15,Signature,Grocery,F,38313
24598,"Hyderabad, India",26-May-15,Gold,Grocery,F,113730
24604,"Jaipur, India",26-May-15,Silver,Fuel,F,292561
24809,"Surat, India",26-May-15,Silver,Fuel,F,143502
25493,"Kanpur, India",26-May-15,Gold,Travel,M,236988
25547,"Surat, India",26-May-15,Platinum,Travel,M,72158
929,"Delhi, India",25-May-15,Silver,Fuel,F,78973
988,"Greater Mumbai, India",25-May-15,Silver,Fuel,F,176128
1092,"Bengaluru, India",25-May-15,Silver,Grocery,F,103964
1436,"Greater Mumbai, India",25-May-15,Gold,Food,F,134904
2914,"Bengaluru, India",25-May-15,Silver,Grocery,M,206108
3209,"Delhi, India",25-May-15,Platinum,Bills,F,110862
4223,"Ahmedabad, India",25-May-15,Gold,Food,M,143599
5032,"Bengaluru, India",25-May-15,Platinum,Fuel,M,167042
5541,"Greater Mumbai, India",25-May-15,Signature,Fuel,M,7550
6202,"Greater Mumbai, India",25-May-15,Silver,Food,M,174873
6274,"Ahmedabad, India",25-May-15,Gold,Bills,F,165153
6975,"Bengaluru, India",25-May-15,Platinum,Entertainment,M,93651
7063,"Delhi, India",25-May-15,Signature,Fuel,F,238780
7955,"Ahmedabad, India",25-May-15,Signature,Fuel,M,69945
8106,"Greater Mumbai, India",25-May-15,Signature,Bills,M,133268
8483,"Greater Mumbai, India",25-May-15,Platinum,Fuel,M,146256
9116,"Greater Mumbai, India",25-May-15,Signature,Grocery,M,28035
9392,"Greater Mumbai, India",25-May-15,Silver,Food,F,263843
9469,"Ahmedabad, India",25-May-15,Platinum,Food,F,113707
9816,"Ahmedabad, India",25-May-15,Gold,Food,M,41519
12679,"Greater Mumbai, India",25-May-15,Signature,Fuel,M,83069
12795,"Bengaluru, India",25-May-15,Silver,Grocery,F,47346
14333,"Hubli-Dharwad, India",25-May-15,Gold,Grocery,M,20455
14815,"Tanuku, India",25-May-15,Silver,Grocery,F,59560
14851,"Gwalior, India",25-May-15,Signature,Bills,M,88823
16198,"Afzalpur, India",25-May-15,Platinum,Grocery,F,156617
16253,"Umarkhed, India",25-May-15,Signature,Fuel,F,90430
16648,"Malappuram, India",25-May-15,Gold,Bills,F,23400
19092,"Kharagpur, India",25-May-15,Signature,Bills,F,115992
19815,"Narsinghgarh, India",25-May-15,Signature,Grocery,F,254718
20081,"Surat, India",25-May-15,Silver,Bills,F,237612
20462,"Hyderabad, India",25-May-15,Platinum,Entertainment,M,47315
21655,"Lucknow, India",25-May-15,Signature,Food,M,217334
22218,"Jaipur, India",25-May-15,Platinum,Food,F,76182
23586,"Kanpur, India",25-May-15,Gold,Entertainment,M,203326
