City,Highest_Expense_Type,Lowest_Expense_Type
"Achalpur, India",Grocery,Entertainment
"Adilabad, India",Bills,Food
"Adityapur, India",Food,Grocery
"Adoni, India",Bills,Entertainment
"Adoor, India",Fuel,Bills
"Afzalpur, India",Fuel,Food
"Agartala, India",Grocery,Food
"Agra, India",Bills,Grocery
"Ahmedabad, India",Bills,Grocery
"Ahmednagar, India",Fuel,Grocery
"Aizawl, India",Food,Grocery
"Ajmer, India",Entertainment,Fuel
"Akola, India",Bills,Fuel
"Akot, India",Fuel,Entertainment
"Alappuzha, India",Food,Entertainment
"Aligarh, India",Bills,Entertainment
"Alipurduar, India",Food,Entertainment
"Alirajpur, India",Entertainment,Entertainment
"Allahabad, India",Grocery,Bills
"Alwar, India",Food,Entertainment
"Amalapuram, India",Grocery,Fuel
"Amalner, India",Entertainment,Food
"Ambejogai, India",Food,Grocery
"Ambikapur, India",Bills,Food
"Amravati, India",Bills,Food
"Amreli, India",Food,Grocery
"Amritsar, India",Fuel,Bills
"Amroha, India",Fuel,Food
"Anakapalle, India",Fuel,Bills
"Anand, India",Fuel,Bills
"Anantapur, India",Food,Grocery
"Anantnag, India",Grocery,Entertainment
"Anjangaon, India",Food,Bills
"Anjar, India",Food,Grocery
"Ankleshwar, India",Grocery,Bills
"Arakkonam, India",Grocery,Food
"Arambagh, India",Food,Entertainment
"Araria, India",Entertainment,Fuel
"Arrah, India",Food,Entertainment
"Arsikere, India",Food,Entertainment
"Aruppukkottai, India",Entertainment,Fuel
"Arvi, India",Entertainment,Food
"Arwal, India",Grocery,Bills
"Asansol, India",Fuel,Entertainment
"Ashok Nagar, India",Grocery,Food
"Athni, India",Entertainment,Fuel
"Attingal, India",Fuel,Food
"Aurangabad, India",Entertainment,Fuel
"Azamgarh, India",Entertainment,Fuel
"Bagaha, India",Entertainment,Entertainment
"Bahadurgarh, India",Food,Bills
"Baharampur, India",Food,Bills
"Bahraich, India",Fuel,Food
"Balaghat, India",Fuel,Grocery
"Balangir, India",Food,Entertainment
"Baleshwar Town, India",Bills,Fuel
"Ballari, India",Fuel,Grocery
"Balurghat, India",Food,Bills
"Bankura, India",Bills,Entertainment
"Bapatla, India",Food,Grocery
"Baramula, India",Grocery,Bills
"Barbil, India",Grocery,Food
"Bargarh, India",Entertainment,Bills
"Baripada Town, India",Food,Entertainment
"Barnala, India",Entertainment,Food
"Barpeta, India",Bills,Entertainment
"Batala, India",Bills,Fuel
"Bathinda, India",Bills,Entertainment
"Begusarai, India",Entertainment,Grocery
"Belagavi, India",Food,Entertainment
"Bellampalle, India",Fuel,Grocery
"Bengaluru, India",Bills,Grocery
"Bettiah, India",Fuel,Grocery
"Bhabua, India",Fuel,Grocery
"Bhadrachalam, India",Grocery,Bills
"Bhadrak, India",Bills,Fuel
"Bhagalpur, India",Fuel,Entertainment
"Bhainsa, India",Food,Bills
"Bharatpur, India",Food,Entertainment
"Bharuch, India",Bills,Food
"Bhatapara, India",Food,Bills
"Bhavnagar, India",Entertainment,Food
"Bhawanipatna, India",Bills,Fuel
"Bheemunipatnam, India",Bills,Entertainment
"Bhilai Nagar, India",Fuel,Food
"Bhilwara, India",Fuel,Grocery
"Bhimavaram, India",Bills,Grocery
"Bhiwandi, India",Grocery,Bills
"Bhiwani, India",Fuel,Grocery
"Bhongir, India",Food,Entertainment
"Bhopal, India",Food,Entertainment
"Bhubaneswar, India",Fuel,Bills
"Bhuj, India",Food,Entertainment
"Bikaner, India",Entertainment,Food
"Bilaspur, India",Fuel,Grocery
"Bobbili, India",Food,Grocery
"Bodhan, India",Food,Bills
"Bokaro Steel City, India",Grocery,Bills
"Bongaigaon City, India",Food,Entertainment
"Brahmapur, India",Grocery,Food
"Buxar, India",Fuel,Grocery
"Byasanagar, India",Food,Grocery
"Chaibasa, India",Bills,Food
"Chalakudy, India",Entertainment,Entertainment
"Chandausi, India",Food,Entertainment
"Chandigarh, India",Food,Food
"Changanassery, India",Bills,Bills
"Charkhi Dadri, India",Grocery,Entertainment
"Chatra, India",Grocery,Food
"Chennai, India",Grocery,Fuel
"Cherthala, India",Fuel,Food
"Chikkamagaluru, India",Entertainment,Bills
"Chilakaluripet, India",Bills,Entertainment
"Chirala, India",Grocery,Entertainment
"Chirkunda, India",Grocery,Fuel
"Chirmiri, India",Food,Entertainment
"Chittoor, India",Bills,Food
"Chittur-Thathamangalam, India",Grocery,Entertainment
"Cuttack, India",Entertainment,Bills
"Dalli-Rajhara, India",Grocery,Fuel
"Darbhanga, India",Grocery,Entertainment
"Darjiling, India",Entertainment,Food
"Davanagere, India",Bills,Grocery
"Deesa, India",Fuel,Grocery
"Dehradun, India",Grocery,Food
"Dehri-on-Sone, India",Entertainment,Grocery
"Delhi, India",Bills,Entertainment
"Deoghar, India",Grocery,Bills
"Dhamtari, India",Food,Grocery
"Dhanbad, India",Grocery,Bills
"Dharmanagar, India",Entertainment,Grocery
"Dharmavaram, India",Fuel,Grocery
"Dhenkanal, India",Grocery,Bills
"Dhoraji, India",Food,Fuel
"Dhubri, India",Entertainment,Fuel
"Dhule, India",Food,Fuel
"Dhuri, India",Bills,Entertainment
"Dibrugarh, India",Bills,Food
"Dimapur, India",Bills,Grocery
"Diphu, India",Bills,Fuel
"Dumka, India",Bills,Fuel
"Dumraon, India",Entertainment,Grocery
"Durg, India",Grocery,Food
"Eluru, India",Bills,Grocery
"English Bazar, India",Entertainment,Grocery
"Erode, India",Food,Bills
"Etawah, India",Food,Fuel
"Faridabad, India",Bills,Grocery
"Faridkot, India",Entertainment,Fuel
"Farooqnagar, India",Entertainment,Food
"Fatehabad, India",Entertainment,Grocery
"Fatehpur Sikri, India",Grocery,Food
"Fazilka, India",Food,Food
"Firozabad, India",Grocery,Grocery
"Firozpur Cantt., India",Food,Entertainment
"Firozpur, India",Grocery,Entertainment
"Forbesganj, India",Food,Bills
"Gadwal, India",Bills,Entertainment
"Gangarampur, India",Bills,Entertainment
"Ganjbasoda, India",Grocery,Entertainment
"Gaya, India",Bills,Food
"Giridih, India",Bills,Grocery
"Goalpara, India",Fuel,Bills
"Gobichettipalayam, India",Bills,Food
"Gobindgarh, India",Fuel,Bills
"Godhra, India",Food,Food
"Gohana, India",Food,Grocery
"Gokak, India",Food,Bills
"Gooty, India",Entertainment,Food
"Gopalganj, India",Bills,Food
"Greater Mumbai, India",Bills,Entertainment
"Gudivada, India",Fuel,Grocery
"Gudur, India",Entertainment,Food
"Gumia, India",Food,Grocery
"Guntakal, India",Food,Fuel
"Guntur, India",Grocery,Entertainment
"Gurdaspur, India",Bills,Food
"Gurgaon, India",Fuel,Bills
"Guwahati, India",Entertainment,Fuel
"Gwalior, India",Bills,Entertainment
"Habra, India",Food,Entertainment
"Hajipur, India",Entertainment,Bills
"Haldwani-cum-Kathgodam, India",Grocery,Fuel
"Hansi, India",Food,Fuel
"Hapur, India",Food,Grocery
"Hardoi , India",Grocery,Entertainment
"Hardwar, India",Fuel,Bills
"Hazaribag, India",Bills,Entertainment
"Hindupur, India",Entertainment,Food
"Hisar, India",Bills,Food
"Hoshiarpur, India",Bills,Fuel
"Hubli-Dharwad, India",Entertainment,Fuel
"Hugli-Chinsurah, India",Food,Food
"Hyderabad, India",Grocery,Travel
"Ichalkaranji, India",Fuel,Entertainment
"Imphal, India",Entertainment,Food
"Indore, India",Grocery,Entertainment
"Itarsi, India",Bills,Fuel
"Jabalpur, India",Entertainment,Bills
"Jagdalpur, India",Grocery,Fuel
"Jaggaiahpet, India",Entertainment,Grocery
"Jagraon, India",Entertainment,Fuel
"Jagtial, India",Fuel,Entertainment
"Jaipur, India",Entertainment,Travel
"Jalandhar Cantt., India",Fuel,Grocery
"Jalandhar, India",Grocery,Bills
"Jalpaiguri, India",Fuel,Food
"Jamalpur, India",Bills,Food
"Jammalamadugu, India",Grocery,Food
"Jammu, India",Food,Bills
