Card_Type,Exp_Type,MaxAmount
Signature,Bills,297820
Platinum,Bills,811899
Gold,Bills,690534
Silver,Bills,584822
Platinum,Food,297788
Signature,Food,290753
Gold,Food,290435
Silver,Food,294124
Silver,Fuel,299085
Silver,Grocery,297513
Platinum,Fuel,299796
Platinum,Entertainment,297906
Gold,Entertainment,298312
Gold,Grocery,298114
Gold,Fuel,293946
Signature,Fuel,287636
Silver,Entertainment,295591
Signature,Entertainment,296429
Signature,Grocery,299040
Platinum,Grocery,295911
Gold,Travel,281115
Silver,Travel,271663
Platinum,Travel,167448
Signature,Travel,297354
